Date,Value,Series_ID,Description,Frequency,Units
2020-04-01,931.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-05-01,1053.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-06-01,1254.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-07-01,1523.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-08-01,1401.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-09-01,1463.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-10-01,1543.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-11-01,1553.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2020-12-01,1635.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-01-01,1639.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-02-01,1407.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-03-01,1668.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-04-01,1492.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-05-01,1607.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-06-01,1638.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-07-01,1600.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-08-01,1595.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-09-01,1563.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-10-01,1587.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-11-01,1704.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2021-12-01,1757.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-01-01,1712.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-02-01,1742.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-03-01,1678.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-04-01,1828.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-05-01,1540.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-06-01,1542.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-07-01,1392.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-08-01,1520.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-09-01,1470.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-10-01,1440.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-11-01,1420.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2022-12-01,1340.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-01-01,1361.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-02-01,1404.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-03-01,1342.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-04-01,1368.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-05-01,1583.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-06-01,1415.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-07-01,1473.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-08-01,1305.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-09-01,1363.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-10-01,1365.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-11-01,1510.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2023-12-01,1568.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-01-01,1376.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-02-01,1546.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-03-01,1299.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-04-01,1377.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-05-01,1315.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-06-01,1329.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-07-01,1262.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-08-01,1379.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-09-01,1355.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-10-01,1344.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-11-01,1305.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2024-12-01,1526.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2025-01-01,1361.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2025-02-01,1494.0,HOUST,Housing_Starts,Monthly,Thousands of Units
2025-03-01,1324.0,HOUST,Housing_Starts,Monthly,Thousands of Units
